No	Language_Name	Alternative_Name	Short_Name	Language_ID	Glottocode	Latitude	Longitude	Contribution	Contributors
1	Central Alaskan Yupik	Cup’ik	Cup’ik	cent2127	cent2127	60.31	-161.49	Vol1	Anthony Woodbury
2	Blackfoot	Siksika	Siksika	siks1238	siks1238	49.07	-113.11	Vol2	Natalie Weber
3	Oklahoma Cherokee	NA	Oklahoma Cherokee	cher1273	cher1273	35.47	-83.16	Vol1	Hiroto Uchihara
4	Kiowa	NA	Kiowa	kiow1266	kiow1266	34.94	-98.9	Vol1	Taylor Miller
5	O'odham	Tohono O'odham		toho1245	toho1245	31.8	-112	Vol2	NA
6	Ayautla Mazatec	NA	Ayautla Mazatec	ayau1235	ayau1235	18.1	-96.6	Vol1	Shun Nakamoto
7	Piedra Azul Mixtec	NA		sanm1291	sanm1291	17.36	-98.24	Vol2	NA
8	San Martín Duraznos Mixtec	NA	Duraznos Mixtec	dura0000	NA	17.31	-98.11	Vol1	Sandra Auderset, Carmen Hernandez Martinez, Albert Ventayol-Boada
9	Teotitlán del Valle Zapotec	NA	TdV Zapotec	teot1238	teot1238	17.02	-96.52	Vol1	Ambrocio Gutierrez, Hiroto Uchihara
10	Zenzontepec Chatino	NA	Zenzontepec Chatino	zenz1235	zenz1235	16.53	-97.46	Vol1	Eric W. Campbell
11	Martinican	Martinique Creole	Martinican	mart1259	mart1259	14.64	-61.02	Vol1	Minella Duzerol
12	Hup	NA	Hup	hupd1244	hupd1244	0.59	-69.84	Vol1	Patience Epps
13	Yukuna	Yucuna	Yukuna	yucu1253	yucu1253	-0.76	-71	Vol1	Magdalena Lemus Serrano
14	Mebengokre	Kayapó	Mebengokre	kaya1330	kaya1330	-7.77	-51.67	Vol1	Andres Salanova
15	Yaminawa	Yaminahua		yami1256	yami1256	-9.88	-71.6	Vol2	NA
16	Tuparí	NA		tupa1250	tupa1250	-11.89	-62.25	Vol2	NA
17	Chácobo	NA	Chacobo	chac1251	chac1251	-12.13	-66.72	paper	Adam Tallman
18	Araona	NA	Araona	arao1248	arao1248	-12.42	-67.73	Vol1	Adam Tallman
19	South Bolivian Quechua	NA	SB Quechua	sout2991	sout2991	-17.41	-66.17	Vol1	Gladys Camacho Rios, Adam Tallman
20	Chorote	Iyojwa'ja Chorote	Chorote	iyoj1235	iyoj1235	-22.19	-63.24	Vol1	Javier Carol
21	Mocoví	NA	Mocoví	moco1246	moco1246	-28.1	-60.41	Vol1	Christian Juarez
22	Chiquitano	Besɨro		chiq1253	chiq1253	-16.67	-60.96	Vol2	NA
23	Reyesano	Maropa		reye1240	reye1240	-14.83	-67.08	Vol2	NA
24	Tacana	NA		taca1256	taca1256	-13.39	-68.04	Vol2	NA
25	Saulteaux Ojibwe	Western Ojibwa		west1510	west1510	50.57	-102.53	Vol2	NA
26	Mojeño Trinitario	NA		trin1278	trin1278	-15.67	-64.98	data	NA
27	Western Apache	NA		west2615	west2615	33.86	-110.12	data	NA
28	Ixil	NA		ixil1251	ixil1251	15.46	-90.89	data	NA
29	Naso	Teribe		teri1250	teri1250	9.07	-82.96	data	NA
30	Inuktitut	Eastern Canadian Inuktitut		east2534	east2534	62.17	-75.61	Vol2	NA
31	Baure	NA		baur1253	baur1253	-13.61	-63.68	Vol2	NA
32	Matsiguenga	Machiguenga		mach1257	mach1257	-12.13	-72.5	Vol2	NA
33	Caquinte	NA		caqu1242	caqu1242	-11.48	-73.45	Vol2	NA
34	Ticuna	NA		ticu1245	ticu1245	-3.66	-69.87	data	NA
35	Northern Aymara	Central Aymara		cent2142	cent2142	-17	-68.5	Vol2	NA
36	Oji-Cree	Severn Ojibwa		seve1240	seve1240	53.91	-89.93	Vol2	NA
37	Paraguayan Guarani	NA		para1311	para1311	-25.61	-57.09	Vol2	NA
