Language_ID	Overlap_Verbal	Overlap_Verbal_Extended	Overlap_Nominal
cent2127	2	4	NA
siks1238	6	NA	NA
cher1273	12	NA	NA
kiow1266	29	NA	NA
toho1245	NA	NA	NA
ayau1235	19	NA	10
sanm1291	NA	NA	NA
dura0000	17	NA	8
teot1238	12	NA	8
zenz1235	13	NA	NA
mart1259	18	NA	NA
hupd1244	6	NA	5
yucu1253	10	NA	NA
kaya1330	15	NA	NA
yami1256	NA	NA	NA
tupa1250	NA	NA	NA
chac1251	8	NA	4
arao1248	6	NA	NA
sout2991	12	NA	NA
iyoj1235	16	NA	NA
moco1246	7	NA	NA
chiq1253	NA	NA	NA
reye1240	NA	NA	NA
taca1256	NA	NA	NA
west1510	NA	NA	NA
trin1278	NA	NA	NA
west2615	NA	NA	NA
ixil1251	NA	NA	NA
teri1250	NA	NA	NA
east2534	NA	NA	NA
baur1253	NA	NA	NA
mach1257	NA	NA	NA
caqu1242	NA	NA	NA
ticu1245	NA	NA	NA
cent2142	NA	NA	NA
seve1240	NA	NA	NA
para1311	NA	NA	NA
