Element	Position_Name	Position_Number	stressable	obligatory	independence	left-interaction	right-interaction	Comments
also	v:leftedge	1						
and	v:leftedge	1						
CONJUNCT	v:leftedge	1						
then	v:leftedge	1						
NP{S,A,P}	v:frontedXP	2						
QWORDS	v:frontedXP	2						
be	v:frontedauxiliary	3						
can	v:frontedauxiliary	3						
could	v:frontedauxiliary	3						
do	v:frontedauxiliary	3						
have	v:frontedauxiliary	3						
may	v:frontedauxiliary	3						
might	v:frontedauxiliary	3						
must	v:frontedauxiliary	3						
ought	v:frontedauxiliary	3						
shall	v:frontedauxiliary	3						
should	v:frontedauxiliary	3						
will	v:frontedauxiliary	3						
would	v:frontedauxiliary	3						
[-n]	v:frontedauxiliaryinflection	4						
[-s]	v:frontedauxiliaryinflection	4						
[-v]	v:frontedauxiliaryinflection	4						
NP{S,A}	v:npsubj1	5						
S-ADVERBS	v:ad-S1	6						
AD-VP	v:ad-VP1	7						
can	v:modal1	8						
could	v:modal1	8						
may	v:modal1	8						
might	v:modal1	8						
must	v:modal1	8						
shall	v:modal1	8						
should	v:modal1	8						
will	v:modal1	8						
would	v:modal1	8						
AD-S	v:sd-S2	9						
not	v:neg1	10						
AD-VP	v:ad-VP2	11						
ha	v:perfect	12						
[-s]	v:perfectinflection	13						
[-ve]	v:perfectinflection	13						
AD-S	v:ad-S3	14						
not	v:neg2	15						
AD-VP	v:ad-VP3	16						
AD-V	v:ad-V1	17						
[be-]	v:passive	18						
AD-S	v:ad-S4	19						
not	v:neg3	20						
AD-VP	v:ad-VP4	21						
be	v:progressive	22						
AD-S	v:ad-S5	23						
not	v:neg4	24						
AD-VP	v:ad-VP5	25						
AD-V	v:ad-V2	26						
air	v:nominal	27						
baby	v:nominal	27						
breast	v:nominal	27						
caretaker	v:nominal	27						
child	v:nominal	27						
cross	v:nominal	27						
dog	v:nominal	27						
eye	v:nominal	27						
fact	v:nominal	27						
grounds	v:nominal	27						
hand	v:nominal	27						
house	v:nominal	27						
lip	v:nominal	27						
name	v:nominal	27						
nanny	v:nominal	27						
pet	v:nominal	27						
pressure	v:nominal	27						
rough	v:nominal	27						
sound	v:nominal	27						
spell	v:nominal	27						
spin	v:nominal	27						
stone	v:nominal	27						
strong	v:nominal	27						
[de-]	v:productiveprefix	28						
[dis-]	v:productiveprefix	28						
[mis-]	v:productiveprefix	28						
[out-]	v:productiveprefix	28						
[over-]	v:productiveprefix	28						
[post-]	v:productiveprefix	28						
[pre-]	v:productiveprefix	28						
[re-]	v:productiveprefix	28						
[un-]	v:productiveprefix	28						
[under-]	v:productiveprefix	28						
[ab-]	v:latinprefix	29						
[ad-]	v:latinprefix	29						
[ante-]	v:latinprefix	29						
[be-]	v:latinprefix	29						
[cata-]	v:latinprefix	29						
[circum-]	v:latinprefix	29						
[co-]	v:latinprefix	29						
[contra-]	v:latinprefix	29						
[dia-]	v:latinprefix	29						
[dis-]	v:latinprefix	29						
[down-]	v:latinprefix	29						
[en-]	v:latinprefix	29						
[epi-]	v:latinprefix	29						
[eu-]	v:latinprefix	29						
[ex-]	v:latinprefix	29						
[fore-]	v:latinprefix	29						
[inter-]	v:latinprefix	29						
[intra-]	v:latinprefix	29						
[mis-]	v:latinprefix	29						
[ob-]	v:latinprefix	29						
[para-]	v:latinprefix	29						
[per-]	v:latinprefix	29						
[pro-]	v:latinprefix	29						
[se-]	v:latinprefix	29						
[sub-]	v:latinprefix	29						
[sup-]	v:latinprefix	29						
[sur-]	v:latinprefix	29						
[syn-]	v:latinprefix	29						
[tele-]	v:latinprefix	29						
[up-]	v:latinprefix	29						
ROOT	v:verbroot	30	na	na	na	na	na	
[-ed]	v:verbinflection	31						
[-ing]	v:verbinflection	31						
[-s]	v:verbinflection	31						
Ad-V	v:ad-V3	32						
NP{P,T}	v:obj-part	33						
VERBPART	v:obj-part	33						
NP{R}	v:rec	34						
Ad-VP	v:ad-VP6	35						
PP	v:PP	36						
AD-S	v:rightedge	37						
