Element	Position_Name	Position_Number	V-combines	N-combines	A-combines	Comments
also	v:leftedge	1	y	n	n	
and	v:leftedge	1	y	y	y	
CONJUNCT	v:leftedge	1	y	n	n	
then	v:leftedge	1	y	y	n	
NP{S,A,P}	v:frontedXP	2				
QWORDS	v:frontedXP	2				
be	v:frontedauxiliary	3	y	n	n	
can	v:frontedauxiliary	3	y	n	n	
could	v:frontedauxiliary	3	y	n	n	
do	v:frontedauxiliary	3	y	n	n	
have	v:frontedauxiliary	3	y	n	n	
may	v:frontedauxiliary	3	y	n	n	
might	v:frontedauxiliary	3	y	n	n	
must	v:frontedauxiliary	3	y	n	n	
ought	v:frontedauxiliary	3	y	n	n	
shall	v:frontedauxiliary	3	y	n	n	
should	v:frontedauxiliary	3	y	n	n	
will	v:frontedauxiliary	3	y	n	n	
would	v:frontedauxiliary	3	y	n	n	
[-n]	v:frontedauxiliaryinflection	4	y	n	n	
[-s]	v:frontedauxiliaryinflection	4	y	n	n	
[-v]	v:frontedauxiliaryinflection	4	y	n	n	
NP{S,A}	v:npsubj1	5	y	y	n	
S-ADVERBS	v:ad-S1	6	y	n	n	
AD-VP	v:ad-VP1	7	y	n	n	
can	v:modal1	8	y	n	n	
could	v:modal1	8	y	n	n	
may	v:modal1	8	y	n	n	
might	v:modal1	8	y	n	n	
must	v:modal1	8	y	n	n	
shall	v:modal1	8	y	n	n	
should	v:modal1	8	y	n	n	
will	v:modal1	8	y	n	n	
would	v:modal1	8	y	n	n	
AD-S	v:sd-S2	9	y	n	n	
not	v:neg1	10	y	y	n	
AD-VP	v:ad-VP2	11	y	n	n	
ha	v:perfect	12	y	n	n	
[-s]	v:perfectinflection	13	y	n	n	
[-ve]	v:perfectinflection	13	y	n	n	
AD-S	v:ad-S3	14	y	n	n	
not	v:neg2	15	y	y	n	
AD-VP	v:ad-VP3	16	y	n	n	
AD-V	v:ad-V1	17	y	n	n	
[be-]	v:passive	18	y	n	n	
AD-S	v:ad-S4	19	y	n	n	
not	v:neg3	20	y	y	n	
AD-VP	v:ad-VP4	21	y	n	n	
be	v:progressive	22	y	n	n	
AD-S	v:ad-S5	23	y	n	n	
not	v:neg4	24	y	n	n	
AD-VP	v:ad-VP5	25	y	n	n	
AD-V	v:ad-V2	26	y	n	n	
air	v:nominal	27	y	y	n	
baby	v:nominal	27	y	y	n	
breast	v:nominal	27	y	y	n	
caretaker	v:nominal	27				
child	v:nominal	27	y	y	n	
cross	v:nominal	27	y	y	n	
dog	v:nominal	27	y	y	n	
eye	v:nominal	27	y	y	n	
fact	v:nominal	27	y	y	n	
grounds	v:nominal	27	y	y	n	
hand	v:nominal	27	y	y	n	
house	v:nominal	27	y	y	n	
lip	v:nominal	27	y	y	n	
name	v:nominal	27	y	y	n	
nanny	v:nominal	27	y	y	n	
pet	v:nominal	27	y	y	n	
pressure	v:nominal	27	y	y	n	
rough	v:nominal	27	y	y	n	
sound	v:nominal	27	y	y	n	
spell	v:nominal	27	y	y	n	
spin	v:nominal	27	y	y	n	
stone	v:nominal	27	y	y	n	
strong	v:nominal	27	y	y	n	
[de-]	v:productiveprefix	28	y	n	n	
[dis-]	v:productiveprefix	28	y	n	n	
[mis-]	v:productiveprefix	28	y	n	n	
[out-]	v:productiveprefix	28	y	n	n	
[over-]	v:productiveprefix	28	y	n	n	
[post-]	v:productiveprefix	28	y	n	n	
[pre-]	v:productiveprefix	28	y	n	n	
[re-]	v:productiveprefix	28	y	n	n	
[un-]	v:productiveprefix	28	y	n	n	
[under-]	v:productiveprefix	28	y	y	n	
[ab-]	v:latinprefix	29	y	n	n	
[ad-]	v:latinprefix	29	y	n	n	
[ante-]	v:latinprefix	29	y	y	n	
[be-]	v:latinprefix	29	y	n	n	
[cata-]	v:latinprefix	29	y	n	n	
[circum-]	v:latinprefix	29	y	n	n	
[co-]	v:latinprefix	29	y	n	n	
[contra-]	v:latinprefix	29	y	y	n	
[dia-]	v:latinprefix	29	y	n	n	
[dis-]	v:latinprefix	29	y	n	n	
[down-]	v:latinprefix	29	y	y	n	
[en-]	v:latinprefix	29	y	n	n	
[epi-]	v:latinprefix	29	y	n	n	
[eu-]	v:latinprefix	29	y	n	n	
[ex-]	v:latinprefix	29	y	n	n	
[fore-]	v:latinprefix	29	y	y	n	
[inter-]	v:latinprefix	29	y	y	n	
[intra-]	v:latinprefix	29	y	y	n	
[mis-]	v:latinprefix	29	y	n	n	
[ob-]	v:latinprefix	29	y	n	n	
[para-]	v:latinprefix	29	y	y	n	
[per-]	v:latinprefix	29	y	n	n	
[pro-]	v:latinprefix	29	y	n	n	
[se-]	v:latinprefix	29	y	n	n	
[sub-]	v:latinprefix	29	y	y	n	
[sup-]	v:latinprefix	29	y	n	n	
[sur-]	v:latinprefix	29	y	n	n	
[syn-]	v:latinprefix	29	y	n	n	
[tele-]	v:latinprefix	29	y	n	n	
[up-]	v:latinprefix	29	y	y	n	
ROOT	v:verbroot	30	y	n	n	
[-ed]	v:verbinflection	31	y	n	n	
[-ing]	v:verbinflection	31	y	n	n	
[-s]	v:verbinflection	31	y	n	n	
Ad-V	v:ad-V3	32	y	n	n	
NP{P,T}	v:obj-part	33				
VERBPART	v:obj-part	33				
NP{R}	v:rec	34	y	n	n	
Ad-VP	v:ad-VP6	35	y	n	n	
PP	v:PP	36	y	y	n	
AD-S	v:rightedge	37	y	n	n	
