Element	Position_Name	Position_Number	V-combines	N-combines	A-combines	Comments
also	v:leftedge	1	y	y	n	
and	v:leftedge	1	n	y	y	
CONJUNCT	v:leftedge	1	y	y	n	
then	v:leftedge	1	n	n	n	
NP{S,A,P}	v:frontedXP	2	n	n	n	
QWORDS	v:frontedXP	2	y	y	n	"Arguably, ""which"" and ""what"" actually do N-combine, so this needs to be split up I guess."
be	v:frontedauxiliary	3	y	y	n	
can	v:frontedauxiliary	3	y	n	y	
could	v:frontedauxiliary	3	y	n	y	
do	v:frontedauxiliary	3	n	n	n	
have	v:frontedauxiliary	3	y	n	n	
may	v:frontedauxiliary	3	y	n	n	
might	v:frontedauxiliary	3	y	n	n	
must	v:frontedauxiliary	3	y	n	y	
ought	v:frontedauxiliary	3	n	n	y	
shall	v:frontedauxiliary	3	n	y	n	
should	v:frontedauxiliary	3	y	n	n	
will	v:frontedauxiliary	3	n	n	n	
would	v:frontedauxiliary	3	y	n	y	
[-n]	v:frontedauxiliaryinflection	4	y	y	n	
[-s]	v:frontedauxiliaryinflection	4	y	n	n	
[-v]	v:frontedauxiliaryinflection	4	y	n	n	
NP{S,A}	v:npsubj1	5	n	n	n	
S-ADVERBS	v:ad-S1	6	y	y	n	
AD-VP	v:ad-VP1	7	y	n	n	
can	v:modal1	8	y	n	n	
could	v:modal1	8	y	y	n	
may	v:modal1	8	y	n	n	
might	v:modal1	8	y	y	n	
must	v:modal1	8	y	y	y	
shall	v:modal1	8	n	n	n	
should	v:modal1	8	y	y	n	
will	v:modal1	8	y	n	n	
would	v:modal1	8	y	y	n	
AD-S	v:sd-S2	9	y	n	n	
not	v:neg1	10	y	n	n	
AD-VP	v:ad-VP2	11	y	n	n	
ha	v:perfect	12	y	n	y	
[-s]	v:perfectinflection	13	y	n	n	
[-ve]	v:perfectinflection	13	y	n	y	
AD-S	v:ad-S3	14	y	n	n	
not	v:neg2	15	y	n	n	
AD-VP	v:ad-VP3	16	n	n	n	
AD-V	v:ad-V1	17	y	n	y	
[be-]	v:passive	18	y	n	y	
AD-S	v:ad-S4	19	y	y	n	
not	v:neg3	20	y	n	n	
AD-VP	v:ad-VP4	21	y	n	n	
be	v:progressive	22	y	y	n	
AD-S	v:ad-S5	23	y	y	n	
not	v:neg4	24	y	n	n	
AD-VP	v:ad-VP5	25	y	y	y	
AD-V	v:ad-V2	26	y	n	y	
air	v:nominal	27	n	n	n	
baby	v:nominal	27	n	y	n	
breast	v:nominal	27	n	n	n	
caretaker	v:nominal	27	n	n	n	"This seems to be a mistake, I think the ""prefix"" must just be ""care""?"
child	v:nominal	27	y	y	n	
cross	v:nominal	27	y	n	y	
dog	v:nominal	27	y	y	n	
eye	v:nominal	27	y	y	n	
fact	v:nominal	27	n	y	n	
grounds	v:nominal	27	y	n	y	
hand	v:nominal	27	y	y	n	
house	v:nominal	27	n	y	n	
lip	v:nominal	27	y	y	y	
name	v:nominal	27	y	y	n	
nanny	v:nominal	27	y	y	y	
pet	v:nominal	27	y	n	n	
pressure	v:nominal	27	n	y	n	
rough	v:nominal	27	y	y	n	
sound	v:nominal	27	y	y	n	
spell	v:nominal	27	y	y	y	
spin	v:nominal	27	y	y	n	
stone	v:nominal	27	y	y	y	
strong	v:nominal	27	y	y	n	
[de-]	v:productiveprefix	28	n	n	y	
[dis-]	v:productiveprefix	28	n	n	n	
[mis-]	v:productiveprefix	28	n	y	n	
[out-]	v:productiveprefix	28	n	n	n	
[over-]	v:productiveprefix	28	y	n	n	
[post-]	v:productiveprefix	28	y	y	n	
[pre-]	v:productiveprefix	28	n	n	n	
[re-]	v:productiveprefix	28	y	n	n	
[un-]	v:productiveprefix	28	n	n	n	
[under-]	v:productiveprefix	28	y	n	y	
[ab-]	v:latinprefix	29	y	n	n	
[ad-]	v:latinprefix	29	y	n	y	
[ante-]	v:latinprefix	29	y	y	n	
[be-]	v:latinprefix	29	y	n	y	
[cata-]	v:latinprefix	29	y	n	n	
[circum-]	v:latinprefix	29	y	y	y	
[co-]	v:latinprefix	29	n	n	n	
[contra-]	v:latinprefix	29	y	y	y	
[dia-]	v:latinprefix	29	y	n	n	
[dis-]	v:latinprefix	29	y	n	y	
[down-]	v:latinprefix	29	y	y	y	
[en-]	v:latinprefix	29	y	n	n	
[epi-]	v:latinprefix	29	y	n	n	
[eu-]	v:latinprefix	29	n	y	n	
[ex-]	v:latinprefix	29	y	n	n	
[fore-]	v:latinprefix	29	y	n	y	
[inter-]	v:latinprefix	29	y	y	n	
[intra-]	v:latinprefix	29	y	y	y	
[mis-]	v:latinprefix	29	n	y	n	
[ob-]	v:latinprefix	29	y	n	n	
[para-]	v:latinprefix	29	n	y	n	
[per-]	v:latinprefix	29	y	n	n	
[pro-]	v:latinprefix	29	n	n	n	
[se-]	v:latinprefix	29	y	n	n	
[sub-]	v:latinprefix	29	y	y	n	
[sup-]	v:latinprefix	29	n	n	n	
[sur-]	v:latinprefix	29	n	n	n	
[syn-]	v:latinprefix	29	y	n	y	
[tele-]	v:latinprefix	29	n	y	n	
[up-]	v:latinprefix	29	y	y	n	
ROOT	v:verbroot	30	y	n	n	
[-ed]	v:verbinflection	31	y	n	y	
[-ing]	v:verbinflection	31	y	y	n	
[-s]	v:verbinflection	31	y	y	n	
Ad-V	v:ad-V3	32	y	n	n	
NP{P,T}	v:obj-part	33	y	y	n	
VERBPART	v:obj-part	33	y	n	y	
NP{R}	v:rec	34	y	n	n	
Ad-VP	v:ad-VP6	35	y	n	n	
PP	v:PP	36	n	y	n	
AD-S	v:rightedge	37	y	n	n	
